"Date","전체"
"2020-01-10",2.7
"2020-01-17",3.2
"2020-01-24",0.3
"2020-01-31",-6.3
"2020-02-07",10.9
"2020-02-14",9.2
"2020-02-21",10.6
"2020-02-28",23.1
"2020-03-06",24.7
"2020-03-13",24.6
"2020-03-20",24.1
"2020-03-27",22
"2020-04-03",24.3
"2020-04-10",21.2
"2020-04-17",24.7
"2020-04-24",20.8
"2020-05-01",23
"2020-05-08",19.5
"2020-05-15",20.8
"2020-05-22",9.5
"2020-05-29",10.7
"2020-06-05",18.4
"2020-06-12",24.4
"2020-06-19",27.8
"2020-06-26",30.9
"2020-07-03",27.7
"2020-07-10",26.7
"2020-07-17",31.7
"2020-07-24",32.7
"2020-07-31",31.3
"2020-08-07",41.7
"2020-08-14",39.9
"2020-08-21",55.9
"2020-08-28",67.6
"2020-09-04",83.3
"2020-09-11",76.4
"2020-09-18",57.1
"2020-09-25",47.1
"2020-10-02",44.8
"2020-10-09",50.2
"2020-10-16",48.2
"2020-10-23",48.7
"2020-10-30",49.7
"2020-11-06",54.1
"2020-11-13",54
"2020-11-20",61.3
"2020-11-27",80.9
"2020-12-04",93.8
"2020-12-11",100.7
"2020-12-18",112.4
"2020-12-25",118.4
"2021-01-01",98.7
"2021-01-08",69
"2021-01-15",90.6
"2021-01-22",99.4
"2021-01-29",101.2
"2021-02-05",97.2
"2021-02-12",91.2
"2021-02-19",89.5
"2021-02-26",95.3
"2021-03-05",105.2
"2021-03-12",100.9
"2021-03-19",102.3
"2021-03-26",107
"2021-04-02",111.7
"2021-04-09",110.3
"2021-04-16",114.8
"2021-04-23",115
"2021-04-30",118.1
"2021-05-07",130.7
"2021-05-14",118.2
"2021-05-21",136.9
"2021-05-28",121.8
"2021-06-04",127.9
"2021-06-11",128.7
"2021-06-18",133.9
"2021-06-25",126.6
"2021-07-02",137.8
"2021-07-09",150.6
"2021-07-16",179.4
"2021-07-23",177
"2021-07-30",176.1
"2021-08-06",174.3
"2021-08-13",171.1
"2021-08-20",167.3
"2021-08-27",175.1
"2021-09-03",171.4
"2021-09-10",167
"2021-09-17",152.9
"2021-09-24",128
"2021-10-01",160.5
"2021-10-08",171.8
"2021-10-15",168
"2021-10-22",164.8
"2021-10-29",156.8
"2021-11-05",152.4
"2021-11-12",160
"2021-11-19",162.6
"2021-11-26",166.4
"2021-12-03",170.6
"2021-12-10",176.3
"2021-12-17",187.2
"2021-12-24",179
"2021-12-31",201.3
"2022-01-07",181.8
"2022-01-14",198.4
"2022-01-21",180.5
"2022-01-28",189.2
"2022-02-04",165.9
"2022-02-11",201
"2022-02-18",209.8
"2022-02-25",219.1
"2022-03-04",224.3
"2022-03-11",217.3
"2022-03-18",214.3
"2022-03-25",208.9
"2022-04-01",194.2
"2022-04-08",182.5
"2022-04-15",177.7
"2022-04-22",170.1
"2022-04-29",162.8
"2022-05-06",172.2
"2022-05-13",153.1
"2022-05-20",156.8
"2022-05-27",159
"2022-06-03",174.2
"2022-06-10",168.8
"2022-06-17",166.1
"2022-06-24",164.4
"2022-07-01",174.4
"2022-07-08",176.9
"2022-07-15",170.2
"2022-07-22",168.3
"2022-07-29",178.8
"2022-08-05",183.8
"2022-08-12",175.4
"2022-08-19",177.7
"2022-08-26",164.2
"2022-09-02",160.1
"2022-09-09",158.5
"2022-09-16",140.4
"2022-09-23",155.2
"2022-09-30",151.8
"2022-10-07",168.6
"2022-10-14",166.9
"2022-10-21",157.2
"2022-10-28",158.2
"2022-11-04",161.3
"2022-11-11",159.6
"2022-11-18",167.4
"2022-11-25",166.6
"2022-12-02",185.2
"2022-12-09",173.2
"2022-12-16",170.5
"2022-12-23",171.7
"2022-12-30",175.7
"2023-01-06",158.8
"2023-01-13",163.9
"2023-01-20",160.2
"2023-01-27",137.5
"2023-02-03",159.6
"2023-02-10",154.6
"2023-02-17",157.8
"2023-02-24",160.2
"2023-03-03",172.6
"2023-03-10",149.9
"2023-03-17",153.8
"2023-03-24",143.2
"2023-03-31",142.3
"2023-04-07",149.2
"2023-04-14",146.7
"2023-04-21",149.1
"2023-04-28",152.8
"2023-05-05",171.6
"2023-05-12",142
"2023-05-19",153.6
"2023-05-26",148.4
"2023-06-02",160.4
"2023-06-09",160.8
"2023-06-16",153
"2023-06-23",153.3
"2023-06-30",158.1
"2023-07-07",151.4
"2023-07-14",151.1
"2023-07-21",145.3
"2023-07-28",151.7
"2023-08-04",161.8
"2023-08-11",162.8
"2023-08-18",156.1
"2023-08-25",148.8
"2023-09-01",145
"2023-09-08",145.5
"2023-09-15",147
"2023-09-22",143.2
"2023-09-29",135
"2023-10-06",142.5
"2023-10-13",155.1
"2023-10-20",146
"2023-10-27",147
"2023-11-03",148.1
"2023-11-10",153.1
"2023-11-17",155.6
"2023-11-24",150
"2023-12-01",155
"2023-12-08",154.5
"2023-12-15",162.6
"2023-12-22",163.2
"2023-12-29",160.8
"2024-01-05",140.1
"2024-01-12",158.9
"2024-01-19",162.1
"2024-01-26",169.3
"2024-02-02",162.8
"2024-02-09",160.8
"2024-02-16",140.4
"2024-02-23",164
"2024-03-01",173.5
"2024-03-08",150.7
"2024-03-15",154.6
"2024-03-22",155.9
"2024-03-29",154.6
"2024-04-05",154.9
"2024-04-12",170.7
"2024-04-19",165.3
"2024-04-26",172
"2024-05-03",182.6
"2024-05-10",181.7
"2024-05-17",187.5
"2024-05-24",171.4
"2024-05-31",175.5
"2024-06-07",192
"2024-06-14",182
"2024-06-21",187.7
"2024-06-28",183.2
"2024-07-05",185.8
"2024-07-12",184.9
"2024-07-19",191
"2024-07-26",195.4
"2024-08-02",201.8
"2024-08-09",207.5
"2024-08-16",220.8
"2024-08-23",198.8
"2024-08-30",196.1
"2024-09-06",192.9
"2024-09-13",192.8
"2024-09-20",171.8
"2024-09-27",175.2
"2024-10-04",200.2
"2024-10-11",183.8
"2024-10-18",175.2
"2024-10-25",174
"2024-11-01",168.7
"2024-11-08",168.1
"2024-11-15",169.1
"2024-11-22",171.6
"2024-11-29",167.4
"2024-12-06",175.1
"2024-12-13",182.2
"2024-12-20",183.1
"2024-12-27",198.9
"2025-01-03",188.8
"2025-01-10",182.5
"2025-01-17",182.6
"2025-01-24",174.1
"2025-01-31",157.3
"2025-02-07",169.9
"2025-02-14",184.7
"2025-02-21",180.5
"2025-02-28",182.6
"2025-03-07",181.8
"2025-03-14",168.8
"2025-03-21",170.5
"2025-03-28",168.9
"2025-04-04",175.2
"2025-04-11",167.1
"2025-04-18",174.9
"2025-04-25",171.1
"2025-05-02",180.6
"2025-05-09",171.3
"2025-05-16",167.7
"2025-05-23",170.5
"2025-05-30",166.2
"2025-06-06",191.5
"2025-06-13",170.6
"2025-06-20",180
"2025-06-27",168.7
"2025-07-04",179.4
"2025-07-11",181.9
"2025-07-18",176.3
"2025-07-25",170.4
"2025-08-01",174.5
"2025-08-08",168.6
"2025-08-15",176.1
"2025-08-22",157.3
"2025-08-29",163.1
"2025-09-05",164.2
"2025-09-12",160.4
"2025-09-19",160.4
"2025-09-26",149.6
"2025-10-03",132.3
"2025-10-10",109.9
"2025-10-17",125
"2025-10-24",127.3
"2025-10-31",128.7